DEVELOPMENT_ID,LATITUDE,LONGITUDE,STATE_NAME
RQ005009029,18.0184,-66.6137,PR
RQ005010048,18.3898,-66.017,PR
RQ005010027,18.395,-66.012,PR
RQ005010058,18.41082,-66.005636,PR
RQ005009022,18.0123,-66.587,PR
RQ005008025,18.0818,-67.0258,PR
RQ005009013,18.0103,-66.6077,PR
RQ005010051,18.364824,-66.046203,PR
RQ005009024,18.0421,-66.5885,PR
RQ005008026,18.0681,-67.0255,PR
RQ005009014,18.0124,-66.6291,PR
RQ005009035,18.0244,-66.8596,PR
RQ005010019,18.415869,-66.036197,PR
RQ005010039,18.3655,-66.057,PR
RQ005009027,18.012,-66.6231,PR
RQ005009005,18.0176,-66.7881,PR
RQ005009036,18.0363,-66.847591,PR
RQ005010022,18.3995,-66.0253,PR
RQ005009028,18.0184,-66.6137,PR
RQ005010040,18.398415,-66.039887,PR
RQ005009008,18.0495,-67.0573,PR
RQ005010001,18.436,-66.0385,PR
FL035000001,30.162965,-85.611735,FL
KS062000001,37.684434,-95.456819,KS
MD021000003,38.323122,-76.624757,MD
LA261002664,30.365281,-92.91445,LA
NC003000058,35.215713,-80.851527,NC
TN035000001,35.917728,-86.88766,TN
TX005000009,29.864114,-95.260055,TX
TX182000001,32.861287,-100.463657,TX
FL104000001,28.457908,-82.175919,FL
FL104000002,28.257242,-82.703379,FL
FL104000003,28.328977,-82.694501,FL
NM063000003,32.434844,-103.160651,NM
PA006000824,40.3813,-79.8554,PA
AL006000008,32.334436,-86.349585,AL
AL047000006,34.735516,-86.612626,AL
FL008000001,27.354405,-82.535965,FL
GA284000002,34.570641,-83.32294,GA
KS001000052,39.095056,-94.630533,KS
KY062000001,37.76293,-84.860132,KY
ME007000001,44.108573,-70.228872,ME
MI041000002,43.701539,-85.476484,MI
ME018000001,44.932133,-68.645048,ME
MT006000001,47.712689,-104.169481,MT
NC077000001,35.859045,-77.050504,NC
NJ014000001,39.365313,-74.434773,NJ
NJ021000020,40.902339,-74.144025,NJ
NE002000002,40.856609,-96.789326,NE
NJ021000022,40.922941,-74.165538,NJ
NY011000071,43.094511,-79.014482,NY
OR002000436,45.519148,-122.646435,OR
OR002000131,45.489032,-122.679845,OR
TX062000010,26.298059,-98.146519,TX
RI005000001,41.511864,-71.307002,RI
