development_id,address,city,cbsa_name,cbsa_code,county_name,county_code,state_name,zipcode,latitude,longitude
FL003026,2209 E Osborne Ave,Tampa,"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area",20500,Hillsborough,15,FL,64804,37.048783,-83.1929
MN038000002,5702 Flintwood Rd,Saint Cloud,"St. Cloud, MN Metropolitan Statistical Area",41060,Stearns,145,MN,64804,37.048783,-83.1929
MI191000001,6925 N Caseville St,Caseville,"Durham-Chapel Hill, NC Metropolitan Statistical Area",99999,Huron,63,MI,64804,43.9672,-83.1929
MO040654831,215 Chestnut Ter,Houston,"Durham-Chapel Hill, NC Metropolitan Statistical Area",99999,Texas,215,MO,65483,37.048783,-83.1929
MO188000002,1009 E 36th St,Joplin,"Joplin, MO Metropolitan Statistical Area",27900,Newton,145,MO,64804,37.048783,-94.513459
FL003028,8218 N Florida Ave,Tampa,"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area",20500,Hillsborough,9,FL,64089,37.110598,-87.608584
MN038000003,41 3rd Ave NE,Saint Cloud,"St. Cloud, MN Metropolitan Statistical Area",41060,Benton,9,MN,64089,37.110598,-87.608584
MI192000001,W5577 W 3rd St Apt 111,Hermansville,"Marinette, WI-MI Micropolitan Statistical Area",31940,Menominee,109,MI,64089,45.715875,-87.608584
MO189000001,1 Bradwood Villa,Norwood,"Durham-Chapel Hill, NC Metropolitan Statistical Area",99999,Wright,229,MO,65717,37.110598,-92.415993
MO041000001,161 County Road F Apt 133,Smithville,"Kansas City, MO-KS Metropolitan Statistical Area",28140,Clay,47,MO,64089,37.110598,-87.608584
MN144000001,2400 Nevada Ave S,St Louis Park,"Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area",33460,Hennepin,53,FL,64089,44.959684,-93.373789
FL003034B,1801 E 26th Ave,Tampa,"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area",28140,Hillsborough,7,FL,63670,37.965643,-84.448118
MN039000001,220 Risedorph St,Le Sueur,"Kansas City, MO-KS Metropolitan Statistical Area",99999,Le Sueur,79,MN,63670,37.965643,-84.448118
MI194000001,14381 Webster Rd Apt A,Bath,"Lansing-East Lansing, MI Metropolitan Statistical Area",29620,Clinton,37,MI,63670,42.807599,-84.448118
MN147000001,20008 Ideal Way,Lakeville,"Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area",33460,Dakota,37,FL,63670,44.659669,-93.255476
MO042000001,115 Portage Vlg,Portageville,"Kansas City, MO-KS Metropolitan Statistical Area",99999,New Madrid,143,MO,63873,37.965643,-84.448118
MO191000001,2 Robinwood Dr,Ste Genevieve,"Kansas City, MO-KS Metropolitan Statistical Area",99999,Ste Genevieve,186,MO,63670,37.965643,-90.059946
FL003034C,1704 E 24th Ave,Tampa,"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area",28140,Hillsborough,37,FL,64477,36.9448,-92.6714
MN040000001,760 Morgan St,Tracy,"Marshall, MN Micropolitan Statistical Area",32140,Lyon,83,MN,64477,36.9448,-92.6714
MN001000001,1479 Timberlake Rd,Saint Paul,"Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area",33460,Ramsey,123,MN,64477,44.985816,-93.094706
