DEVELOPMENT_ID,STATE_NAME.x,STATE_CODE,ZIPCODE,INSPECTION_SCORE,INSPECTION_DATE,in_floodplain,inspection_year,latitude,longitude,distance_to_floodzone,census_code,block_group,county,age,total_pop,total_white,total_black,total_hispanic,poverty,income,public_assistance,owner,renter,vehicles,prop_value,age_c,total_pop_c,total_white_c,total_black_c,total_hispanic_c,poverty_c,disability_c,income_c,public_assistance_c,owner_c,renter_c,vehicles_c,prop_value_c
NY158026613,NY,36,10950,97,2015-04-28,0,2015,41.340473,-74.177509,16326.35268,360710150052003,360710150052,36071,16.4,1873,1854,0,19,365,28424,375,81,294,375,339600,36.8,375384,249415,34951,71699,88788,365674,70848,125270,86184,39086,125270,262500
NY046000007,NY,36,11710,88,2015-02-24,0,2015,40.674625,-73.528513,38577.54049,360594153006011,360594153006,36059,38.1,2019,1875,14,130,504,109783,622,509,113,622,385400,41.3,1354612,851645,147403,213372,337910,1344466,99465,440640,353777,86863,440640,446400
OH001000133,OH,39,43219,88,2015-02-18,0,2015,40.0120125,-82.96366275,15131.429680000001,390490075112000,390490075112,39049,25.9,635,21,589,15,187,20568,240,66,174,240,70000,33.8,1215761,800021,256550,60943,279594,1207823,52341,480946,258868,222078,480946,150600
OH001000150,OH,39,43201,85,2015-03-04,0,2015,39.981129,-83.001783,17658.54067,390490022001008,390490022001,39049,31.5,1937,1535,122,86,272,66944,1174,404,770,1174,235200,33.8,1215761,800021,256550,60943,279594,1207823,52341,480946,258868,222078,480946,150600
OH001000147,OH,39,43110,80,2015-03-02,0,2015,39.88278825,-82.82809575,8505.472599249999,390490102032007,390490102032,39049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.8,1215761,800021,256550,60943,279594,1207823,52341,480946,258868,222078,480946,150600
OH049000030,OH,39,45036,79,2015-01-27,0,2015,39.446572,-84.184796,20345.81531,391650314003001,391650314003,39165,32.8,1992,1590,402,0,537,38387,777,330,447,777,128200,38.7,219916,193119,7356,5379,58919,213931,74379,78359,60511,17848,78359,190900
OK002002001,OK,40,73108,80,2015-02-02,0,2015,35.4497995,-97.54198099999999,16398.1036675,401091041001025,401091041001,40109,27.7,1563,524,129,705,372,14063,589,136,453,589,41600,34.2,754480,437189,110135,121246,181431,742083,47437,291390,171014,120376,291390,133400
OH034000001,OH,39,43731,69,2015-04-27,0,2015,39.757917,-82.084993,286.4276232,391279660005040,391279660005,39127,38.9,1347,1300,0,0,391,35972,501,345,156,501,65900,40,36025,35007,97,252,10065,35749,42017,13780,10093,3687,13780,91800
OH003000903,OH,39,44104,85,2015-04-22,0,2015,41.492706166666665,-81.65455783333333,24891.580383333334,390351098011001,390351098011,39035,22.1,2005,0,1981,0,529,7215,884,0,884,884,NA,40.4,1263189,762825,370327,66416,305683,1247668,44190,534719,317310,217409,534719,121800
OH001000135,OH,39,43228,81,2015-02-19,0,2015,39.924202,-83.092604,15033.35115,390490083503005,390490083503,39049,31.2,1481,914,345,166,300,45714,636,201,435,636,124400,33.8,1215761,800021,256550,60943,279594,1207823,52341,480946,258868,222078,480946,150600
OH003000928,OH,39,44104,89,2015-03-18,0,2015,41.480766,-81.64122166666667,23625.56855,390351148002013,390351148002,39035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.4,1263189,762825,370327,66416,305683,1247668,44190,534719,317310,217409,534719,121800
OH001000151,OH,39,43205,84,2015-03-05,0,2015,39.965806,-82.971404,16161.04644,390490036001014,390490036001,39049,53.1,730,212,341,11,99,28633,385,122,263,385,147200,33.8,1215761,800021,256550,60943,279594,1207823,52341,480946,258868,222078,480946,150600
OH003000906,OH,39,44104,89,2015-03-31,0,2015,41.467017399999996,-81.62070080000001,21827.107217999997,390351204001004,390351204001,39035,47.6,883,13,870,0,202,25721,321,212,109,321,51800,40.4,1263189,762825,370327,66416,305683,1247668,44190,534719,317310,217409,534719,121800
OK002002809,OK,40,73106,82,2015-03-26,0,2015,35.481427,-97.5273835,20042.689879999998,401091025003002,401091025003,40109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.2,754480,437189,110135,121246,181431,742083,47437,291390,171014,120376,291390,133400
OH034000002,OH,39,43777,72,2015-04-28,0,2015,39.812109666666665,-82.077821,781.4446243333333,391279660001007,391279660001,39127,24.4,1317,1249,0,10,358,25179,464,230,234,464,65800,40,36025,35007,97,252,10065,35749,42017,13780,10093,3687,13780,91800
OH014000021,OH,39,43952,87,2015-03-02,0,2015,40.37054466666667,-80.613163,325.38656748333335,390810002002011,390810002002,39081,42.1,778,437,244,12,91,10323,374,95,279,374,58100,44.3,68053,61707,3806,859,18208,67317,41942,27958,19796,8162,27958,86200
OH001000143,OH,39,43201,85,2015-03-03,0,2015,39.988232599999996,-82.9764356,16793.300658,390490015001005,390490015001,39049,27.4,734,27,578,0,184,13194,286,78,208,286,50000,33.8,1215761,800021,256550,60943,279594,1207823,52341,480946,258868,222078,480946,150600
OH003000904,OH,39,44104,82,2015-04-08,0,2015,41.48818633333333,-81.64840283333334,24314.71716666667,390351984002011,390351984002,39035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.4,1263189,762825,370327,66416,305683,1247668,44190,534719,317310,217409,534719,121800
OH003000929,OH,39,44104,84,2015-03-19,0,2015,41.47907525,-81.63745449999999,23296.11599,390351148002017,390351148002,39035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.4,1263189,762825,370327,66416,305683,1247668,44190,534719,317310,217409,534719,121800
OK050000001,OK,40,74079,94,2015-03-31,0,2015,35.79873333333334,-96.6857,61072.28952666667,400819611002016,400819611002,40081,49.1,832,695,0,58,258,55368,323,271,52,323,124500,40.7,34504,28798,603,1017,9405,34103,45149,13231,10220,3011,13231,99800
OH003000909,OH,39,44113,84,2015-04-06,0,2015,41.4656255,-81.6972245,28196.141730000003,390351048003005,390351048003,39035,30,606,100,125,375,118,41397,206,58,148,206,52900,40.4,1263189,762825,370327,66416,305683,1247668,44190,534719,317310,217409,534719,121800
OH014000024,OH,39,43952,81,2015-03-24,0,2015,40.3526915,-80.62005716666667,186.1659277,390810124001031,390810124001,39081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.3,68053,61707,3806,859,18208,67317,41942,27958,19796,8162,27958,86200
OK002002018,OK,40,73109,84,2015-02-23,0,2015,35.445505,-97.519159,16874.70922,401091047001000,401091047001,40109,44.6,605,222,46,290,72,9844,329,30,299,329,62000,34.2,754480,437189,110135,121246,181431,742083,47437,291390,171014,120376,291390,133400
OK056000001,OK,40,74647,98,2015-03-27,0,2015,36.940266666666666,-97.05476666666667,10381.150986666666,400710012003021,400710012003,40071,42.9,1089,960,0,38,294,44808,436,317,119,436,80500,38.8,45587,34665,854,3281,11553,44921,42134,18115,12488,5627,18115,78800
OK015000001,OK,40,73644,97,2015-04-01,0,2015,35.405037,-99.424016,251.4311732,400099662003005,400099662003,40009,40.1,732,650,0,54,189,NA,377,93,284,377,96700,34.7,23300,17864,794,3155,5170,21633,48601,7535,4815,2720,7535,122400
OH003000911,OH,39,44135,84,2015-04-28,0,2015,41.4671368,-81.7309334,30784.535037999998,390351027005011,390351027005,39035,28.2,973,276,425,255,231,27208,279,42,237,279,51300,40.4,1263189,762825,370327,66416,305683,1247668,44190,534719,317310,217409,534719,121800
OH006000111,OH,39,43614,67,2015-02-24,0,2015,41.610202799999996,-83.6889872,6980.7301334,390950072041000,390950072041,39095,27.9,795,663,37,95,169,61250,303,124,179,303,189500,37.7,436261,305764,80734,28558,106520,430966,41777,177619,108258,69361,177619,104200
OK095000020,OK,40,74804,88,2015-02-10,0,2015,35.347456,-96.908069,50377.4799,401255008002018,401255008002,40125,56.3,1588,1378,7,32,376,47365,730,559,171,730,154600,37.6,71136,52293,1990,3367,18041,68859,44688,25996,17892,8104,25996,102700
