GEOID,age_c,total_pop_c,total_white_c,total_black_c,total_hispanic_c,poverty_c,income_c,public_assistance_c,owner_c,renter_c,vehicles_c,prop_value_c,year
05115,35.4,58963,52644,1878,2649,15060,38511,22207,15424,6783,22207,93500,2009
05117,43.1,8776,7297,1360,26,2636,32176,3868,2657,1211,3868,69900,2009
05119,35.5,375518,217860,126579,15624,96694,44370,155631,95178,60453,155631,127000,2009
05121,41,18058,17206,184,252,5048,28427,7490,5598,1892,7490,68100,2009
05123,36,26769,11566,13366,1476,6367,27016,9729,5877,3852,9729,61300,2009
05125,38.1,95000,86427,3923,2283,26814,51082,36828,27789,9039,36828,123100,2009
05127,40.1,11170,9517,0,941,3167,33969,4375,3229,1146,4375,67900,2009
05129,45.6,8002,7664,0,48,2208,27071,3344,2575,769,3344,67300,2009
05131,36.2,121325,90829,7221,13166,31146,39131,47336,29965,17371,47336,103600,2009
05133,33.9,16516,10316,597,4864,4167,34090,5774,4419,1355,5774,71900,2009
05135,45.7,17689,16860,70,225,4614,29589,7049,5704,1345,7049,74300,2009
05137,46.6,11920,11631,0,188,3193,27167,4578,3593,985,4578,79400,2009
05139,39.8,43157,27205,14232,866,12607,35732,18098,12413,5685,18098,67200,2009
05141,45.5,16411,15559,167,279,4426,30531,6750,5168,1582,6750,75900,2009
05143,30.9,193353,150022,6066,25263,47543,43317,73521,41334,32187,73521,152100,2009
05145,35.7,73838,66825,3199,2165,19906,38417,27758,19303,8455,27758,90300,2009
05147,40.9,7677,5250,2308,12,2360,27880,3643,2118,1525,3643,53700,2009
05149,36.5,21912,16621,284,4253,5628,36398,7758,5367,2391,7758,71200,2009
06001,36.1,1457095,540164,183565,310688,331446,68863,520096,291316,228780,520096,606700,2009
06003,39.5,1153,818,0,27,265,54605,444,296,148,444,433300,2009
06005,46.3,38039,30658,830,4020,10036,57347,14364,11225,3139,14364,354500,2009
06007,36.6,217917,167499,3292,27788,51224,42002,85207,51677,33530,85207,273600,2009
06009,47.7,46548,38905,651,4565,13004,57676,18153,14493,3660,18153,370100,2009
06011,33,21001,9066,229,10663,4877,47150,6690,4354,2336,6690,290800,2009
06013,38,1015571,519549,91758,226432,256196,77838,364336,257566,106770,364336,574700,2009
06015,37.4,28729,19357,970,4630,6128,38408,9750,6280,3470,9750,246600,2009
06017,41.6,175941,142021,757,20242,47221,70765,65379,49999,15380,65379,471200,2009
06019,30.3,890750,317043,43713,428139,201585,46230,278525,154847,123678,278525,268800,2009
06021,34.5,27891,16119,193,9648,7129,40973,9558,6648,2910,9558,244800,2009
06023,36.5,129003,102040,1319,10705,30117,39124,52520,29941,22579,52520,327900,2009
06025,30.8,160034,26646,5270,121781,37138,37595,46405,26261,20144,46405,205800,2009
06027,44.5,17438,11945,36,3089,4810,44952,7801,4975,2826,7801,303500,2009
06029,30.3,780953,326391,43409,360187,177929,46216,239277,147930,91347,239277,226800,2009
06031,30,146696,55815,10971,70992,30460,46595,39263,21760,17503,39263,221300,2009
06033,43.1,64756,49152,1512,10002,16061,41182,25160,17216,7944,25160,295100,2009
06035,36.6,34428,23520,3423,5287,6962,48653,10288,6984,3304,10288,225200,2009
06037,33.8,9785295,2827681,836940,4627543,2140307,54828,3178266,1544182,1634084,3178266,521900,2009
06039,33.1,144794,59419,5642,72444,32455,46083,41972,26882,15090,41972,297000,2009
06041,43.7,246711,185063,7519,33639,61034,87728,101086,65084,36002,101086,880000,2009
06043,46.4,17865,14641,100,1810,5238,47808,7683,5160,2523,7683,287000,2009
06045,40.8,86030,61054,506,17274,21535,43404,33967,21945,12022,33967,421500,2009
06047,29.4,242235,84708,8428,126272,56977,43848,73128,41208,31920,73128,282900,2009
06049,45.5,9162,7299,176,1161,2511,34007,3773,2655,1118,3773,160100,2009
06051,38.3,12925,9100,121,2965,2778,51970,5014,3017,1997,5014,464400,2009
06053,32.5,404922,144683,12602,210808,89382,59693,125360,67457,57903,125360,608800,2009
06055,39.3,132173,79953,2464,38601,31700,68416,48094,31794,16300,48094,601800,2009
06057,46.5,97063,85207,459,7270,26779,58186,39542,30061,9481,39542,457600,2009
06059,35.3,2976831,1390222,47501,987175,689212,73738,974001,598752,375249,974001,625700,2009
06061,39.8,332059,259210,4674,39178,90471,73550,125046,92464,32582,125046,457100,2009
06063,48.7,20550,17795,183,1527,6310,44727,10050,6522,3528,10050,284900,2009
06065,33.1,2036304,865067,119210,879799,475154,58155,645185,453241,191944,645185,355800,2009
06067,34.4,1375605,717907,135479,271667,330048,56799,503437,302812,200625,503437,346900,2009
06069,33.5,54752,22445,522,28809,13395,68567,16671,11089,5582,16671,594900,2009
06071,30.7,1986635,721965,168906,925914,450648,55461,588796,384428,204368,588796,338300,2009
06073,34.5,2987543,1531102,145459,906922,689829,62901,1045259,596414,448845,1045259,516400,2009
06075,38.2,797271,355969,50660,113107,142819,70040,324185,123010,201175,324185,781500,2009
06077,32,664641,261622,46596,241865,154434,54540,207667,129882,77785,207667,355000,2009
06079,38.8,262149,192137,4957,49374,63561,55555,102663,62794,39869,102663,534300,2009
06081,38.8,701886,320697,21434,161800,171068,84426,252860,156000,96860,252860,786500,2009
06083,33.7,402025,211077,7111,155814,89441,59350,140502,76347,64155,140502,620800,2009
06085,35.5,1729378,664913,41874,444128,411525,85569,585424,350525,234899,585424,704200,2009
06087,36.7,251398,158244,2412,72956,58471,64349,93754,55956,37798,93754,675300,2009
06089,40.8,179387,149488,1759,13854,47042,44755,69471,45886,23585,69471,269800,2009
06091,48.3,3240,2782,24,380,822,53750,1403,1037,366,1403,346400,2009
06093,46.6,44404,35875,613,4303,12447,37938,19838,13302,6536,19838,236800,2009
06095,35.9,406461,179048,57337,89411,98605,67920,136906,90734,46172,136906,430700,2009
06097,39.3,464218,320039,6748,103650,113745,63848,179061,112903,66158,179061,564500,2009
