DEVELOPMENT_ID,STATE_NAME.x,STATE_CODE,ZIPCODE,INSPECTION_SCORE,INSPECTION_DATE,in_floodplain,inspection_year,latitude,longitude,distance_to_floodzone,census_code,block_group,county
PA002000034,PA,42,19124,51,2018-12-03,0,2018,40.014523499999996,-75.0778385,3167.9160924999996,421010300004008,421010300004,42101
PA002000128,PA,42,19147,73,2018-08-08,0,2018,39.9413086,-75.16366099999999,2657.2536800000003,421010018002004,421010018002,42101
PA002000029,PA,42,19120,46,2018-09-19,0,2018,40.0373225,-75.10992425,6861.925783,421010291002001,421010291002,42101
PA002000055,PA,42,19133,54,2018-08-15,0,2018,39.9893786,-75.1498796,4048.147312,421010165001005,421010165001,42101
PA002000035,PA,42,19139,65,2018-08-07,0,2018,39.9650096,-75.229983,8435.5501898,421010094002000,421010094002,42101
PA002000174,PA,42,19142,71,2018-07-25,0,2018,39.917503,-75.242925,6313.450109333334,421010063004026,421010063004,42101
PA002000076,PA,42,19119,65,2018-08-20,0,2018,40.04928733333333,-75.18944466666667,11418.910945,421010237001011,421010237001,42101
PA002000030,PA,42,19129,53,2018-09-24,0,2018,40.01271833333333,-75.18159916666667,7710.3279365,421010206001011,421010206001,42101
PA002000062,PA,42,19146,71,2018-06-27,0,2018,39.933028799999995,-75.1795948,3991.0779818,421010031006005,421010031006,42101
PA002000147,PA,42,19123,77,2018-08-28,0,2018,39.9667,-75.15495,2498.9761545,421010132001013,421010132001,42101
PA002000077,PA,42,19121,65,2018-08-27,0,2018,39.9809968,-75.1718484,4565.9928954,421010148001007,421010148001,42101
PA002000039,PA,42,19104,38,2018-08-29,0,2018,39.958784,-75.209535,6600.788416,421010092001001,421010092001,42101
PA002000063,PA,42,19139,68,2018-07-18,0,2018,39.9643182,-75.2203256,7621.377681200001,421010104001018,421010104001,42101
PA002000104,PA,42,19121,69,2018-07-31,0,2018,39.976668,-75.164682,3789.98224,421010147001008,421010147001,42101
PA013000004,PA,42,16509,73,2018-08-02,0,2018,42.081352200000005,-80.1113888,1055.9460204,420490030004002,420490030004,42049
PA023000006,PA,42,19079,60,2018-08-21,0,2018,39.897925,-75.26740066666666,5709.657257,420454029001011,420454029001,42045
PA033000003,PA,42,16335,78,2018-08-22,0,2018,41.663971,-80.160462,22257.70817,420391117001016,420391117001,42039
RI002000001,RI,44,02860,85,2018-08-23,0,2018,41.861805,-71.369219,60648.43654,440070171003036,440070171003,44007
PA013000001,PA,42,16510,73,2018-07-25,0,2018,42.1334022,-80.03795480000001,838.3028632,420490015001011,420490015001,42049
PA023000001,PA,42,19063,58,2018-08-17,0,2018,39.89224716666667,-75.36865266666666,6274.3440695,420454074041025,420454074041,42045
PA013000002,PA,42,16503,73,2018-07-30,0,2018,42.122156000000004,-80.0716922,2014.443869,420490013002008,420490013002,42049
PA023000003,PA,42,19015,76,2018-08-20,0,2018,39.85249025,-75.38483575000001,3734.7909554999997,420454063001035,420454063001,42045
PA023000010,PA,42,19013,76,2018-08-14,0,2018,39.843870333333335,-75.390902,2919.4107945,420454064021010,420454064021,42045
PA023000004,PA,42,19087,74,2018-08-27,0,2018,40.036792,-75.39306959999999,22411.384186,420454098033015,420454098033,42045
RI002000003,RI,44,02860,78,2018-08-20,0,2018,41.881970249999995,-71.38638,63303.772065,440070152003014,440070152003,44007
