"","year","tract","INSPECTION_SCORE","in_floodplain","age_t","total_pop_t","total_white_t","total_black_t","total_hispanic_t","poverty_t","income_t","public_assistance_t","owner_t","renter_t","vehicles_t","prop_value_t","area_t","pop_density_t","cf_riskscore_t","rf_riskscore_t","cf_riskscore_t2","rf_riskscore_t2","per_capita_income_t","yrPolicyCount_t","yrPaidOnBuildingClaim_t","yrPaidOnContentClaim_t","yrClaim_t","totPolicyCount_t","totPaidOnBuildingClaim_t","totPaidOnContentClaim_t","totClaim_t","unit_t","county","urbanrural"
"96",2013,5057480300,77,0,36.7,5735,1980,2710,1025,1439,23740,2078,1269,809,2078,73900,38.552608,148.7577702,0,54.54503019,0,55.95342827,15451,0,0,0,0,1,25763.02,0,1,2522,5057,2
"97",2013,5063490400,100,0,38,4539,4354,31,68,1286,35139,1794,1274,520,1794,76400,436.856965,10.39012849,0,93.08495457,0,92.97850113,18740,0,0,0,0,1,0,0,1,2000,5063,2
"98",2013,5063490500,100,0,49.2,2255,2034,0,221,623,63152,990,774,216,990,181400,38.032264,59.29176344,0,87.16762593,0,86.90410733,41917,0,0,0,0,2,5681.73,0,2,1141,5063,2
"99",2013,5069001901,98,1,44.9,1616,596,966,18,424,25963,661,465,196,661,75500,119.468392,13.52659036,0,97.37498694,0,97.39236818,15303,0,0,0,0,0,0,0,0,816,5069,1
"100",2013,5077470300,76,0,34.3,4332,919,3355,35,927,17711,1634,732,902,1634,55000,36.26143,119.4657795,0,41.77499374,0,41.32072359,12152,0,0,0,0,1,0,0,1,2061,5077,2
"101",2013,5079960500,80,0,40.3,2471,2068,342,47,620,36705,924,584,340,924,85200,28.034538,88.14127773,0,78.33325406,0,77.83169297,20322,0,0,0,0,1,17203.14,0,1,1050,5079,2
"102",2013,5079960600,78,0,35.9,5444,1958,3077,311,553,25536,848,405,443,848,45200,381.118631,14.28426626,0,99.36981934,0,99.40342003,6726,0,0,0,0,4,384041.94,0,4,1037,5079,1
"103",2013,5081030200,87,0,44.9,2776,2254,416,0,790,46028,1131,941,190,1131,64800,401.922071,6.906811545,0,80.23236455,0,79.78363666,20492,0,0,0,0,0,0,0,0,1296,5081,2
"104",2013,5085020700,89,0,37.6,2979,2024,888,39,790,31458,1172,578,594,1172,81800,94.099577,31.65795315,0,86.63011939,0,86.36938473,17637,0,0,0,0,0,0,0,0,1290,5085,1
"105",2013,5089960201,91,0,46.7,3626,3438,34,59,1020,28220,1459,1048,411,1459,82500,245.364309,14.77802544,0,91.76385093,0,91.57914994,15145,0,0,0,0,0,0,0,0,1760,5089,2
"106",2013,5093010900,90,0,33.5,2574,1731,712,109,594,28519,818,434,384,818,62600,437.284102,5.886333366,0,60.73586072,0,59.76934074,14614,0,0,0,0,0,0,0,0,1053,5093,2
"107",2013,5093011200,84,0,36.5,1925,1539,253,105,483,45125,701,446,255,701,77800,296.969958,6.482137159,0,54.44040089,0,53.44614285,19407,0,0,0,0,0,0,0,0,849,5093,2
