"","DEVELOPMENT_ID","STATE_NAME","INSPECTION_SCORE","year","in_floodplain","STATEFP","COUNTYFP","TRACTCE","BLKGRPCE","blockgroup","ALAND_b","AWATER_b","tract","ALAND_tr","AWATER_tr","pct_poor_poc1","pct_poor_poc2","pct_white","pct_poor","pct_elderly","log_income_pc","pct_renter","pop_density","CFLD_RISKV10","coastal","IFLD_RISKV10","CFLD_RISKS","IFLD_RISKS","STCO"
"20275","TN051000001","TN",98,2018,0,"47","039","955002","3","470399550023",22040460,0,"47039955002",112841934,5689502,3.77063810798751,2.90049085229808,88.9454545454546,22.0210815765353,8.43636363636364,4.28643401340209,0.355640535372849,6.2385267821089e-05,NA,NA,550780.102312182,0,39.359417115903,"47039"
"20276","TN001000057","TN",97,2018,0,"47","157","004600","1","471570046001",1281530,0,"47157004600",1281530,0,23.7275449101796,22.5299401197605,12.125748502994,28.4431137724551,14.5209580838323,4.32709316704851,0.866187050359712,0.00104250388207845,NA,NA,430812.781899038,0,27.861775606469,"47157"
"20277","TN001000073","TN",88,2018,0,"47","157","011400","3","471570114003",1229357,0,"47157011400",2858379,0,32.244212098581,31.6094100074683,2.90758047767394,65.6072264971562,8.72274143302181,3.80780553227062,0.951063829787234,0.000783336329479557,NA,NA,776214.939898698,0,56.7322270889488,"47157"
"20278","TN001000065","TN",93,2018,0,"47","157","002400","2","471570024002",338408,0,"47157002400",1241870,0,35.9491451117931,35.7299430074529,3.05732484076433,37.0601336302895,15.1592356687898,4.20873687711441,0.934844192634561,0.0023196851138271,NA,NA,324961.946367893,0,16.2019878706199,"47157"
"20279","TN021000002","TN",84,2018,0,"47","095","960200","3","470959602003",112143460,16192739,"47095960200",236286126,28758540,7.76617954070981,7.76617954070981,83.3688699360341,24.4191144234985,20.682302771855,4.4569578494576,0.359073359073359,4.18214312274652e-06,NA,NA,420895.846471826,0,26.7246462264151,"47095"
"20280","TN001000074","TN",91,2018,0,"47","157","004500","1","471570045001",555457,0,"47157004500",555457,0,56.4646464646465,59.8989898989899,8.98989898989899,62.020202020202,12.7272727272727,3.95842052805252,0.797583081570997,0.00178231618289084,NA,NA,251142.237723048,0,9.08229447439353,"47157"
"20281","TN003000011","TN",86,2018,0,"47","093","001600","1","470930016001",1019642,0,"47093001600",1988715,0,2.38345601121626,1.15667718191377,94.1122355105796,20.175118569865,28.2428702851886,4.49735819863047,0.650914634146341,0.00106606044082139,NA,NA,387381.256918864,0,22.8963106469003,"47093"
"20282","TN001000070","TN",96,2018,0,"47","157","002400","3","471570024003",162897,0,"47157002400",1241870,0,35.9491451117931,35.7299430074529,1.00401606425703,37.0601336302895,20.0803212851406,4.36282163484799,0.932432432432432,0.00305714654045194,NA,NA,324961.946367893,0,16.2019878706199,"47157"
"20283","TN037000001","TN",52,2018,0,"47","115","050301","3","471150503013",14178156,0,"47115050301",72599510,4017181,6.1400293255132,3.86730205278592,78.4436926051232,25.5920550038197,18.6563557274045,4.34600070095675,0.43463687150838,0.000145928708923784,NA,NA,2122159.18699509,0,93.5646900269542,"47115"
"20284","TN003000022","TN",83,2018,0,"47","093","007000","1","470930070001",965772,0,"47093007000",2522609,0,29.3992179168148,30.9278350515464,26.8677176148047,47.2992700729927,7.60795065113091,4.21138755293686,0.6524064171123,0.0015107085316203,NA,NA,238401.031821604,0,8.05256064690027,"47093"
"20285","TN001000075","TN",96,2018,0,"47","157","011400","3","471570114003",1229357,0,"47157011400",2858379,0,32.244212098581,31.6094100074683,2.90758047767394,65.6072264971562,8.72274143302181,3.80780553227062,0.951063829787234,0.000783336329479557,NA,NA,776214.939898698,0,56.7322270889488,"47157"
"20286","TN050000001","TN",76,2018,0,"47","069","950300","1","470699503001",22289430,0,"47069950300",68765280,179140,13.5,12.9736842105263,44.8701012769705,20.8024182467711,25.3192426243945,4.37524283026077,0.414358974358974,0.000101886858479557,NA,NA,593708.233232732,0,43.198281671159,"47069"
"20287","TN058000001","TN",96,2018,0,"47","059","090100","3","470590901003",1040172,0,"47059090100",49875661,0,5.66624017547066,1.93748857612868,86.8852459016393,34.0766823161189,28.7909836065574,4.05103669514121,0.769230769230769,0.000938306357025569,NA,NA,1030882.74036361,0,70.9316037735849,"47059"
"20288","TN020000001","TN",93,2018,0,"47","149","041900","4","471490419004",604112,0,"47149041900",2089335,47260,18.8617121354657,18.0150517403575,13.4502923976608,35.1695934568198,10.0877192982456,4.21362399341609,0.491803278688525,0.00113224037926742,NA,NA,1457597.59910013,0,84.3392014824798,"47149"
"20289","TN033000002","TN",95,2019,0,"47","141","000600","2","471410006002",5126406,0,"47141000600",11210401,0,2.14168039538715,1.22381736879266,87.0194707938093,16.0561184723305,21.8172740888667,4.36460727177008,0.489820359281437,0.000390722077026283,NA,NA,1210912.80209924,0,78.1944912398922,"47141"
